t,src,seq,t_gen
2.144888,136,2,2.144888
2.146572,201,2,2.146572
2.148121,66,2,2.148121
2.149822,123,2,2.149822
2.150412,381,2,2.150412
2.150846,317,2,2.150846
2.153688,301,2,2.153688
2.154626,204,2,2.154626
2.155034,22,2,2.155034
2.156377,27,2,2.156377
2.158110,277,2,2.158110
2.158244,172,2,2.158244
2.160283,194,2,2.160283
2.162041,276,2,2.162041
2.162202,62,2,2.162202
2.162559,236,2,2.162559
2.164152,160,2,2.164152
2.164189,348,2,2.164189
2.164771,104,2,2.164771
2.164968,108,2,2.164968
2.166095,314,2,2.166095
2.167815,181,2,2.167815
2.174391,74,2,2.174391
2.175104,322,2,2.175104
2.175935,68,2,2.175935
2.177253,213,2,2.177253
2.177613,296,2,2.177613
2.179054,55,2,2.179054
2.180576,127,2,2.180576
2.180653,183,2,2.180653
2.181581,41,2,2.181581
2.182231,361,2,2.182231
2.184051,26,2,2.184051
2.184745,309,2,2.184745
2.187122,61,2,2.187122
2.187162,20,2,2.187162
2.187376,271,2,2.187376
2.188113,16,2,2.188113
2.189163,84,2,2.189163
2.189678,164,2,2.189678
2.190365,31,2,2.190365
2.190699,269,2,2.190699
2.190880,47,2,2.190880
2.191220,251,2,2.191220
2.191551,153,2,2.191551
2.192619,56,2,2.192619
2.193414,112,2,2.193414
2.194160,320,2,2.194160
2.194434,139,2,2.194434
2.197772,338,2,2.197772
2.198767,42,2,2.198767
2.199830,283,2,2.199830
2.199834,268,2,2.199834
2.201383,217,2,2.201383
2.201609,205,2,2.201609
2.202153,366,2,2.202153
2.202212,161,2,2.202212
2.203461,388,2,2.203461
2.207640,351,2,2.207640
2.207804,352,2,2.207804
2.210922,319,2,2.210922
2.212754,130,2,2.212754
2.212973,356,2,2.212973
2.213472,316,2,2.213472
2.213917,36,2,2.213917
2.215892,211,2,2.215892
2.215997,390,2,2.215997
2.216303,208,2,2.216303
2.216639,235,2,2.216639
2.217078,186,2,2.217078
2.217380,190,2,2.217380
2.218907,379,2,2.218907
2.220333,146,2,2.220333
2.223572,39,2,2.223572
2.223758,82,2,2.223758
2.224071,220,2,2.224071
2.224542,44,2,2.224542
2.227430,141,2,2.227430
2.227949,329,2,2.227949
2.229130,263,2,2.229130
2.230110,124,2,2.230110
2.230503,155,2,2.230503
2.236595,256,2,2.236595
2.237334,188,2,2.237334
2.239877,257,2,2.239877
2.241446,375,2,2.241446
2.241853,262,2,2.241853
2.244755,53,2,2.244755
